"Points:0","Points:1","Points:2","U:0","U:1","U:2","blendedIndicatorU","k","nut","omega","p"
0.975,0.36,0.005,0.033785,-0.0051476,-1.5775e-24,0,0.00017105,0.00096443,0.17736,0.014224
0.925,0.408,0.005,0.031263,-0.0068139,-1.8975e-24,0,0.00018012,0.0010667,0.16886,0.014214
0.875,0.456,0.005,0.028708,-0.008633,1.0285e-24,0,0.00018742,0.0011554,0.16221,0.014206
0.825,0.50502,0.005,0.026115,-0.010599,-1.8648e-25,0,0.00019336,0.0012301,0.15719,0.014198
0.775,0.55506,0.005,0.023513,-0.012694,9.8299e-25,0,0.00019825,0.0012899,0.1537,0.014192
0.725,0.60511,0.005,0.020964,-0.014892,9.3728e-25,0,0.0002024,0.0013324,0.1519,0.014188
0.675,0.65515,0.005,0.018484,-0.017181,-1.8007e-24,0,0.00020616,0.0013581,0.1518,0.014187
0.625,0.70519,0.005,0.016085,-0.019551,-1.6749e-24,0,0.00020985,0.0013676,0.15344,0.01419
0.575,0.75523,0.005,0.013778,-0.021993,-1.1433e-39,0,0.00021381,0.0013625,0.15692,0.014197
0.525,0.80528,0.005,0.011575,-0.024496,1.4482e-24,0,0.00021834,0.0013447,0.16237,0.014208
0.475,0.85532,0.005,0.009493,-0.027046,9.5418e-25,0,0.00022366,0.0013159,0.16997,0.014223
0.425,0.90536,0.005,0.0075496,-0.02962,-3.6171e-25,0,0.00022989,0.0012774,0.17996,0.014242
0.375,0.9554,0.005,0.0057673,-0.032189,-9.8042e-25,0,0.00023687,0.0012288,0.19276,0.014263
0.325,1.0054,0.005,0.0041718,-0.034712,-2.1268e-24,0,0.00024412,0.0011671,0.20917,0.014288
0.275,1.0555,0.005,0.002791,-0.037144,-8.1802e-25,0,0.00025054,0.0010852,0.23087,0.014315
0.225,1.1055,0.005,0.0016543,-0.039437,-1.5273e-25,0,0.00025419,0.0009717,0.26159,0.014346
0.175,1.1556,0.005,0.00079428,-0.041541,-1.4369e-24,0,0.00025167,0.00081072,0.31043,0.01438
0.125,1.2056,0.005,0.00020756,-0.043392,1.1847e-24,0,0.00023668,0.00058609,0.40383,0.014421
0.075,1.2557,0.005,7.2727e-05,-0.044814,1.0877e-24,0,0.000195,0.00029944,0.65124,0.014464
0.025,1.3057,0.005,-0.00032929,-0.043846,-5.95e-24,0,9.1434e-05,4.6703e-05,1.9578,0.014527
1.375,0.024,0.005,0.035717,0.00045105,3.1283e-25,0,9.0003e-06,4.2368e-06,2.1243,0.014312
1.325,0.072,0.005,0.04275,0.00097591,-7.8501e-25,0,5.5412e-05,9.7864e-05,0.56622,0.014289
1.275,0.12,0.005,0.043201,0.00071006,-1.0442e-24,0,8.7381e-05,0.0002803,0.31174,0.014271
1.225,0.168,0.005,0.04228,0.00024122,0,0,0.00011006,0.0004515,0.24377,0.014252
1.175,0.216,0.005,0.040726,-0.00051778,1.0116e-38,0,0.00012869,0.00059845,0.21504,0.014234
1.125,0.264,0.005,0.038792,-0.0014888,-1.2736e-38,0,0.00014458,0.00073187,0.19755,0.014217
1.075,0.312,0.005,0.036592,-0.002669,0,0,0.00015804,0.00085702,0.18441,0.014202
1.025,0.36,0.005,0.03422,-0.0040418,6.6851e-25,0,0.00016921,0.00097375,0.17377,0.014188
0.975,0.408,0.005,0.031747,-0.0055901,3.4691e-25,0,0.00017827,0.0010799,0.16509,0.014175
0.925,0.456,0.005,0.029227,-0.0072962,-1.0233e-24,0,0.00018552,0.001173,0.15816,0.014163
0.875,0.50502,0.005,0.026655,-0.0091533,8.3135e-25,0,0.00019132,0.0012525,0.15275,0.014153
0.825,0.55506,0.005,0.024063,-0.011145,1.2919e-25,0,0.00019601,0.0013174,0.14878,0.014145
0.775,0.60511,0.005,0.021517,-0.013246,-8.2586e-25,0,0.00019987,0.0013653,0.1464,0.014139
0.725,0.65515,0.005,0.019035,-0.015445,-2.898e-27,0,0.00020325,0.0013962,0.14558,0.014137
0.675,0.70519,0.005,0.016629,-0.01773,7.978e-25,0,0.00020651,0.0014108,0.14638,0.014138
0.625,0.75523,0.005,0.014312,-0.020092,8.8693e-25,0,0.00020999,0.0014106,0.14886,0.014144
0.575,0.80528,0.005,0.012097,-0.022523,1.3716e-24,0,0.00021401,0.0013973,0.15316,0.014155
0.525,0.85532,0.005,0.0099962,-0.025011,2.46e-24,0,0.0002189,0.0013732,0.15941,0.01417
0.475,0.90536,0.005,0.0080253,-0.027538,1.4691e-24,0,0.00022489,0.0013403,0.16779,0.014189
0.425,0.9554,0.005,0.0062029,-0.030078,9.1529e-25,0,0.00023208,0.0013,0.17851,0.014213
0.375,1.0054,0.005,0.0045503,-0.032598,1.4069e-33,0,0.00024031,0.0012518,0.19197,0.01424
0.325,1.0555,0.005,0.0030919,-0.035054,-6.2669e-25,0,0.00024903,0.001192,0.20892,0.014272
0.275,1.1055,0.005,0.0018546,-0.037398,-1.5043e-25,0,0.00025705,0.0011128,0.231,0.014307
0.225,1.1556,0.005,0.00086768,-0.039578,-1.5207e-24,0,0.00026229,0.0010013,0.26196,0.014347
0.175,1.2056,0.005,0.00016706,-0.041547,1.1297e-24,0,0.00026118,0.00084012,0.31088,0.014392
0.125,1.2557,0.005,-0.00026439,-0.043255,7.8264e-25,0,0.00024717,0.00061119,0.40441,0.014445
0.075,1.3057,0.005,-0.000212,-0.044521,-2.5785e-24,0,0.00020538,0.00031452,0.65297,0.0145
0.025,1.3557,0.005,-0.00048724,-0.043591,4.5794e-24,0,9.9825e-05,5.0989e-05,1.9578,0.014579
1.425,0.024,0.005,0.034612,0.00059491,3.3012e-25,0,8.0988e-06,3.8125e-06,2.1243,0.014331
1.375,0.072,0.005,0.042279,0.0013105,-7.8217e-25,0,5.2456e-05,8.903e-05,0.5892,0.014299
1.325,0.12,0.005,0.043028,0.0011803,-8.8435e-25,0,8.467e-05,0.00026746,0.31658,0.014272
1.275,0.168,0.005,0.042248,0.00084713,9.7496e-25,0,0.00010764,0.0004431,0.24292,0.014245
1.225,0.216,0.005,0.040807,0.00021212,7.498e-25,0,0.00012641,0.00059458,0.2126,0.01422
1.175,0.264,0.005,0.038972,-0.00064257,-2.4808e-25,0,0.00014241,0.00073146,0.19469,0.014197
1.125,0.312,0.005,0.036859,-0.0017047,1.0344e-24,0,0.00015594,0.00085951,0.18143,0.014176
1.075,0.36,0.005,0.034559,-0.0029613,5.4508e-25,0,0.00016716,0.00097928,0.1707,0.014157
1.025,0.408,0.005,0.032143,-0.0043959,5.9061e-25,0,0.00017624,0.0010889,0.16185,0.014141
0.975,0.456,0.005,0.029665,-0.0059915,1.2925e-24,0,0.00018344,0.001186,0.15468,0.014126
0.925,0.50502,0.005,0.027121,-0.0077411,9.3212e-25,0,0.00018915,0.00127,0.14893,0.014113
0.875,0.55506,0.005,0.024545,-0.0096289,5.5615e-25,0,0.00019365,0.0013398,0.14454,0.014101
0.825,0.60511,0.005,0.022006,-0.011632,9.6038e-25,0,0.00019723,0.0013927,0.14162,0.014094
0.775,0.65515,0.005,0.019523,-0.013736,-3.505e-26,0,0.00020026,0.0014287,0.14017,0.014089
0.725,0.70519,0.005,0.017112,-0.015932,0,0,0.00020307,0.0014484,0.1402,0.014089
0.675,0.75523,0.005,0.014786,-0.018209,1.1857e-25,0,0.000206,0.0014528,0.1418,0.014094
0.625,0.80528,0.005,0.012556,-0.02056,4.4983e-25,0,0.00020941,0.0014435,0.14507,0.014103
0.575,0.85532,0.005,0.010436,-0.022975,-1.9627e-38,0,0.00021364,0.0014229,0.15015,0.014118
0.525,0.90536,0.005,0.0084398,-0.02544,-5.1482e-25,0,0.00021903,0.0013935,0.15718,0.014137
0.475,0.9554,0.005,0.0065814,-0.027937,-9.0222e-25,0,0.00022582,0.0013577,0.16633,0.014161
0.425,1.0054,0.005,0.0048793,-0.030435,8.9656e-25,0,0.00023411,0.0013168,0.17779,0.014191
0.375,1.0555,0.005,0.0033536,-0.032896,8.7666e-25,0,0.00024372,0.00127,0.19191,0.014225
0.325,1.1055,0.005,0.0020278,-0.035275,-1.7618e-24,0,0.00025402,0.0012131,0.2094,0.014264
0.275,1.1556,0.005,0.00092895,-0.037517,-7.0144e-39,0,0.00026375,0.0011373,0.23191,0.014307
0.225,1.2056,0.005,8.8351e-05,-0.039573,-3.0962e-25,0,0.00027066,0.0010285,0.26316,0.014357
0.175,1.2557,0.005,-0.00045941,-0.041397,-4.3943e-39,0,0.00027099,0.00086758,0.31236,0.014413
0.125,1.3057,0.005,-0.0007397,-0.042946,1.4902e-24,0,0.00025795,0.00063446,0.40656,0.014479
0.075,1.3557,0.005,-0.00051258,-0.044083,-1.9824e-24,0,0.00021604,0.0003291,0.65644,0.014547
0.025,1.4058,0.005,-0.00065823,-0.043127,2.7242e-24,0,0.00010865,5.5497e-05,1.9578,0.014641
1.475,0.024,0.005,0.033239,0.00074935,3.6118e-25,0,7.2293e-06,3.4031e-06,2.1243,0.014359
1.425,0.072,0.005,0.041617,0.0016618,-1.218e-38,0,4.934e-05,8.0021e-05,0.61659,0.014317
1.375,0.12,0.005,0.042668,0.0016814,-1.4084e-24,0,8.1758e-05,0.00025227,0.32409,0.014282
1.325,0.168,0.005,0.042073,0.0014561,1.9352e-24,0,0.00010504,0.00043165,0.24333,0.014246
1.275,0.216,0.005,0.040769,0.00093864,7.0901e-26,0,0.00012395,0.00058772,0.21089,0.014214
1.225,0.264,0.005,0.039041,0.00019618,2.372e-39,0,0.00014003,0.00072799,0.19236,0.014184
1.175,0.312,0.005,0.037023,-0.0007558,0,0,0.00015366,0.00085882,0.17892,0.014158
1.125,0.36,0.005,0.034803,-0.001902,0,0,0.00016495,0.0009813,0.16809,0.014134
1.075,0.408,0.005,0.032451,-0.0032278,0,0,0.00017406,0.001094,0.15911,0.014112
1.025,0.456,0.005,0.030022,-0.0047168,-3.8903e-26,0,0.00018126,0.0011947,0.15172,0.014094
0.975,0.50502,0.005,0.027513,-0.0063611,3.7695e-26,0,0.00018689,0.001283,0.14567,0.014077
0.925,0.55506,0.005,0.024959,-0.0081462,8.609e-25,0,0.00019124,0.0013573,0.1409,0.014063
0.875,0.60511,0.005,0.022432,-0.01005,1.4923e-24,0,0.00019459,0.0014151,0.13751,0.014052
0.825,0.65515,0.005,0.019952,-0.01206,-7.7552e-25,0,0.00019728,0.0014562,0.13548,0.014046
0.775,0.70519,0.005,0.017537,-0.014165,-1.4615e-24,0,0.00019966,0.0014809,0.13482,0.014044
0.725,0.75523,0.005,0.015201,-0.016353,-1.4421e-24,0,0.00020205,0.0014899,0.13561,0.014046
0.675,0.80528,0.005,0.012957,-0.018619,-7.972e-25,0,0.00020481,0.0014848,0.13794,0.014054
0.625,0.85532,0.005,0.010818,-0.020953,-8.2833e-25,0,0.00020829,0.0014674,0.14195,0.014067
0.575,0.90536,0.005,0.008796,-0.023345,-1.8332e-24,0,0.00021286,0.0014403,0.14779,0.014086
