"Points:0","Points:1","Points:2","U:0","U:1","U:2","blendedIndicatorU","k","nut","omega","p"
0.625,0.90536,0.005,-0.039364,0.059343,-8.2711e-25,0,0.00042282,0.0010473,0.40373,0.017107
0.575,0.9554,0.005,-0.036207,0.059753,-6.914e-25,0,0.00040762,0.0010124,0.40264,0.017242
0.525,1.0054,0.005,-0.032927,0.059783,-3.45e-24,0,0.00039402,0.00097699,0.4033,0.017391
0.475,1.0555,0.005,-0.029514,0.059401,-4.8062e-24,0,0.00038273,0.00094285,0.40593,0.017546
0.425,1.1055,0.005,-0.02598,0.058602,8.4848e-24,0,0.00037435,0.00091127,0.4108,0.017702
0.375,1.1556,0.005,-0.022378,0.0574,3.6129e-24,0,0.00036934,0.000883,0.41827,0.01785
0.325,1.2056,0.005,-0.018785,0.055778,-1.4112e-24,0,0.00036801,0.00085775,0.42905,0.017983
0.275,1.2557,0.005,-0.015249,0.05363,2.598e-24,0,0.00037018,0.00083327,0.44425,0.018091
0.225,1.3057,0.005,-0.011849,0.050824,9.9808e-25,0,0.00037308,0.00078761,0.46481,0.018169
0.175,1.3557,0.005,-0.0086034,0.04746,1.8972e-24,0,0.00036797,0.00074674,0.49277,0.018212
0.125,1.4058,0.005,-0.0056618,0.044029,4.8503e-24,0,0.00033998,0.00062197,0.54661,0.018239
0.075,1.4558,0.005,-0.0027212,0.040755,1.734e-24,0,0.00026974,0.00036854,0.73192,0.018247
0.025,1.5059,0.005,-0.0015484,0.035689,-2.6451e-24,0,0.00011444,5.8455e-05,1.9578,0.018269
1.575,0.024,0.005,-0.060451,0.0028381,1.1048e-23,0,0.00022543,8.0269e-05,2.7858,0.015912
1.525,0.072,0.005,-0.076146,0.0075041,-1.8326e-24,0,0.00024426,0.00016068,1.5202,0.016218
1.475,0.12,0.005,-0.080816,0.013028,-9.2878e-24,0,0.00029928,0.00028414,1.0533,0.016395
1.425,0.168,0.005,-0.081151,0.017964,0,0,0.0003608,0.00043649,0.8266,0.01651
1.375,0.216,0.005,-0.079787,0.022568,0,0,0.00041659,0.00059535,0.69975,0.016567
1.325,0.264,0.005,-0.077671,0.026834,-3.8675e-25,0,0.00046233,0.0007454,0.62025,0.016582
