"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.325,0.36,0.005,0.015589,-0.017222,1.2395e-24
0.275,0.408,0.005,0.012991,-0.019429,1.3239e-24
0.225,0.456,0.005,0.010385,-0.021578,5.1058e-25
0.175,0.50502,0.005,0.0078157,-0.023688,2.4112e-24
0.125,0.55506,0.005,0.0053325,-0.025684,-1.417e-24
0.075,0.60511,0.005,0.0029997,-0.027247,-4.5068e-24
0.025,0.65515,0.005,0.0012678,-0.027178,3.1257e-25
0.725,0.024,0.005,0.030275,-0.0015894,8.3518e-24
0.675,0.072,0.005,0.030267,-0.0028169,-2.793e-24
0.625,0.12,0.005,0.028678,-0.0051265,-1.9218e-24
0.575,0.168,0.005,0.026779,-0.0073859,1.5724e-24
0.525,0.216,0.005,0.024667,-0.0097121,0
0.475,0.264,0.005,0.022359,-0.012041,-1.0969e-24
0.425,0.312,0.005,0.019894,-0.014355,-2.3024e-24
0.375,0.36,0.005,0.017325,-0.016639,1.1603e-24
0.325,0.408,0.005,0.01471,-0.01888,3.2552e-24
0.275,0.456,0.005,0.012097,-0.021077,2.5007e-24
0.225,0.50502,0.005,0.0095194,-0.023258,5.7104e-26
0.175,0.55506,0.005,0.007043,-0.025398,2.2075e-24
0.125,0.60511,0.005,0.0047322,-0.027385,3.8698e-24
0.075,0.65515,0.005,0.0026353,-0.028952,-2.2095e-24
0.025,0.70519,0.005,0.0010774,-0.028879,5.1648e-24
0.775,0.024,0.005,0.032033,-0.0014323,-8.0752e-24
0.725,0.072,0.005,0.032152,-0.0025702,1.5807e-24
0.675,0.12,0.005,0.030552,-0.0047416,-1.2855e-24
0.625,0.168,0.005,0.02861,-0.0068829,1.1109e-24
0.575,0.216,0.005,0.026448,-0.0091235,2.0813e-24
0.525,0.264,0.005,0.024093,-0.011397,1.2798e-24
0.475,0.312,0.005,0.021586,-0.013683,1.151e-25
0.425,0.36,0.005,0.018982,-0.015961,1.0964e-24
0.375,0.408,0.005,0.016335,-0.018214,2.2411e-24
0.325,0.456,0.005,0.013697,-0.02043,2.0792e-24
0.275,0.50502,0.005,0.011095,-0.022637,4.9893e-26
0.225,0.55506,0.005,0.008583,-0.024823,-2.878e-24
0.175,0.60511,0.005,0.0062471,-0.026927,-6.8217e-25
0.125,0.65515,0.005,0.0041261,-0.028874,8.2745e-25
0.075,0.70519,0.005,0.0022698,-0.030413,3.5167e-24
0.025,0.75523,0.005,0.00088588,-0.030329,1.5627e-25
